,phi0,p,a,P_load,u,v,U,V,L-a-u,L-U,lambda_P
0,20.0,0.4226182617406994,0.005230268932802195,4.1597838342667135,0.0004740012740637855,0.0012681458715934563,0.0007894250859859695,0.0030570032016222553,0.00429572979313402,0.00921057491401403,2.4958703005600276
1,21.0,0.4305110968082951,0.005148117183023321,4.16579343524026,0.0005680271463048949,0.0013836218485467858,0.000909962893943731,0.003228542047445781,0.004283855670671784,0.009090037106056268,2.499476061144155
2,22.0,0.4383711467890774,0.005069383442993199,4.172164884030723,0.0006566746822482877,0.0014960352280156733,0.0010258076442900004,0.0033950596903143827,0.004273941874758514,0.00897419235571,2.503298930418433
3,23.0,0.44619781310980877,0.004993826326588627,4.178945416027922,0.000740385325880894,0.0016055670902575415,0.0011373702815461182,0.00355681048632496,0.00426578834753048,0.008862629718453882,2.5073672496167525
4,24.0,0.45399049973954675,0.0049212304875245316,4.186175187395577,0.0008195525790370131,0.001712375279331006,0.0012450153086712267,0.0037140200476290172,0.004259216933438456,0.008754984691328774,2.5117051124373457
5,25.0,0.4617486132350339,0.004851402865959791,4.193888594324976,0.0008945289842733004,0.0018165979881836192,0.0013490676547618118,0.0038668894343993937,0.004254068149766909,0.008650932345238189,2.5163331565949854
6,26.0,0.4694715627858908,0.004784169606112198,4.202115336668025,0.000965631852623247,0.0019183566819374852,0.0014498183002763705,0.004015598598602338,0.004250198541264555,0.00855018169972363,2.521269202000815
7,27.0,0.4771587602596084,0.004719373503616344,4.210881281601849,0.0010331480009998046,0.0020177585013451387,0.00154752892281227,0.004160309236709498,0.004247478495383852,0.00845247107718773,2.526528768961109
8,28.0,0.48480962024633706,0.0046568718752323,4.220209169570061,0.0010973377005030266,0.002114898253947368,0.00164243576324653,0.0043011671709063375,0.004245790424264674,0.00835756423675347,2.532125501742036
9,29.0,0.49242356010346705,0.004596534768348706,4.230119194893856,0.001158437990318427,0.0022098600752833934,0.0017347528657179377,0.004438304350775614,0.004245027241332867,0.008265247134282063,2.5380715169363133
10,30.0,0.49999999999999994,0.0045382434461600325,4.2406294861223035,0.0012166654773200303,0.0023027188238656142,0.001824674810547238,0.00457184054694563,0.004245091076519937,0.008175325189452763,2.5443776916733816
11,31.0,0.5075383629607041,0.0044818890982403345,4.2517565056894595,0.0012722187155325285,0.002393541259676465,0.001912379033387971,0.004701884792794526,0.004245892186227137,0.008087620966612028,2.5510539034136754
12,32.0,0.5150380749100542,0.004427371736740663,4.2635153842718045,0.0013252802399084003,0.002482387045388246,0.001998027804329375,0.0048285366186087446,0.004247348023350937,0.008001972195670625,2.5581092305630824
